Production Budget ($),Worldwide Gross ($)
"$110,000 ","$11,000,000 "
"$385,907 ",$0 
"$200,000 ","$8,000,000 "
"$100,000 ","$3,000,000 "
"$245,000 ","$22,000,000 "
"$3,900,000 ","$9,000,000 "
"$2,000,000 ",$0 
"$379,000 ","$4,358,000 "
"$4,000,000 ",$0 
"$558,000 ","$900,000 "
"$672,000 ","$10,000,650 "
"$200,000 ","$2,000,000 "
"$439,000 ","$2,281,000 "
"$325,000 ","$2,500,000 "
"$609,000 ","$3,202,000 "
"$1,500,000 ","$165,049 "
"$1,300,000 ","$5,273,000 "
"$1,200,000 ",$0 
"$1,488,000 ","$184,925,485 "
"$2,000,000 ","$4,000,000 "
"$1,644,000 ","$4,000,000 "
"$1,500,000 ","$9,000,000 "
"$2,777,000 ","$33,754,967 "
"$3,900,000 ","$390,525,192 "
"$2,000,000 ","$9,172,000 "
"$1,288,000 ","$6,000,000 "
"$2,280,000 ","$83,320,000 "
"$1,250,000 ",$0 
"$858,000 ","$268,000,000 "
"$134,000 ","$8,000,000 "
"$1,039,000 ","$10,462,500 "
"$2,627,000 ","$5,363,000 "
"$2,361,000 ","$3,500,000 "
"$5,200,000 ","$2,000,000 "
"$2,160,000 ","$9,132,000 "
"$1,250,000 ","$11,000,000 "
"$1,500,000 ","$7,000,000 "
"$3,180,000 ","$9,576,159 "
"$2,000,000 ","$24,464,742 "
"$2,100,000 ","$23,600,000 "
"$6,000,000 ","$20,400,000 "
"$2,000,000 ","$7,800,000 "
"$3,700,000 ","$2,956,000 "
"$3,000,000 ","$9,012,000 "
"$1,600,000 ","$5,400,000 "
"$1,000,000 ","$7,800,000 "
"$2,900,000 ","$263,591,415 "
"$3,768,785 ","$8,000,000 "
"$8,250,000 ","$30,022,000 "
"$1,200,000 ","$7,000,000 "
"$3,000,000 ",$0 
"$1,800,000 ","$8,000,000 "
"$2,300,000 ","$11,000,000 "
"$730,000 ","$8,000,000 "
"$4,000,000 ","$36,000,000 "
"$2,540,000 ","$7,200,000 "
"$1,250,000 ","$2,500,000 "
"$4,000,000 ","$87,400,000 "
"$1,650,000 ","$30,500,000 "
"$210,000 ","$5,000,000 "
"$5,000,000 ","$36,000,000 "
"$658,000 ","$23,800,000 "
"$5,000,000 ","$15,000,000 "
"$910,000 ","$9,600,000 "
"$5,000,000 ","$28,200,000 "
"$1,200,000 ","$7,000,000 "
"$1,577,000 ",$0 
"$6,000,000 ","$12,500,000 "
"$4,500,000 ","$10,400,000 "
"$4,000,000 ","$14,400,000 "
"$1,000,000 ","$9,000,000 "
"$3,380,000 ","$3,220 "
"$13,500,000 ","$80,000,000 "
"$6,000,000 ","$42,000,000 "
"$500,000 ","$271,736 "
"$2,660,000 ",$0 
"$1,200,000 ","$2,000,000 "
"$5,000,000 ","$11,014,685 "
"$340,000 ",$0 
"$3,000,000 ","$33,300,000 "
"$3,000,000 ","$17,570,324 "
"$5,000,000 ","$11,000,000 "
"$3,500,000 ","$12,800,000 "
"$2,883,848 ","$25,000,000 "
"$15,000,000 ","$73,000,000 "
"$4,000,000 ","$21,750,000 "
